Station ID,Station Name,Address,Total Docks,Docks in Service,Status,Longitude,Latitude
87,900 W Harrison St,900 W Harrison St,19,19,in service,-87.649807,41.874754
15,Aberdeen St & Jackson Blvd,1103 W.Jackson Blvd,23,23,in service,-87.65478743,41.87772613
66,Aberdeen St & Monroe St,Aberdeen St & Monroe St,19,16,in service,-87.655519,41.880419
316,Aberdeen St & Randolph St,Aberdeen St & Randolph St,15,15,in service,-87.654264,41.884114
225,Ada St & Washington Blvd,Ada St & Washington Blvd,15,14,in service,-87.661206,41.88283
223,Adler Planetarium,Off Street,38,38,in service,-87.607267,41.866095
275,Albany Ave & 26th St,Albany Ave & 26th St,11,11,in service,-87.70201301,41.84447501
283,Albany Ave & Bloomingdale Ave,Albany Ave & Bloomingdale Ave,15,15,in service,-87.70512646,41.91402671
240,Artesian Ave & Hubbard St,Artesian Ave & Hubbard St,35,35,in service,-87.68821937,41.88949182
193,Ashland Ave & 13th St,Ashland Ave & 13th St,15,15,in service,-87.666507,41.865234
160,Ashland Ave & 21st St,Ashland Ave & 21st St,14,14,in service,-87.665897,41.85381
313,Ashland Ave & 50th St,Ashland Ave & 50th St,11,11,in service,-87.664699,41.803023
234,Ashland Ave & Archer Ave,Ashland Ave & Archer Ave,15,15,in service,-87.66560986,41.83920868
24,Ashland Ave & Augusta Blvd,1611 W. Augusta Blvd,15,14,in service,-87.6677,41.899643
217,Ashland Ave & Blackhawk St,Ashland Ave & Blackhawk St,15,15,in service,-87.667252,41.907066
227,Ashland Ave & Chicago Ave,Ashland Ave & Chicago Ave,15,13,in service,-87.667747,41.895966
162,Ashland Ave & Division St,Ashland Ave & Division St,27,27,in service,-87.667747,41.90345
195,Ashland Ave & Grand Ave,Off Street,15,15,in service,-87.666611,41.891072
245,Ashland Ave & Harrison St,Ashland Ave & Harrison St,23,22,in service,-87.667284,41.874293
94,Ashland Ave & Lake St (Temp),Ashland Ave & Lake St (Temp),19,19,in service,-87.66717,41.88592
310,Ashland Ave & McDowell Ave,Ashland Ave & McDowell Ave,11,11,in service,-87.66454,41.80887
305,Ashland Ave & Pershing Rd,Ashland Ave & Pershing Rd,11,11,in service,-87.665577,41.823465
285,Austin Blvd & Chicago Ave,Austin Blvd & Chicago Ave,11,11,in service,-87.774704,41.894887
290,Austin Blvd & Lake St,Austin Blvd & Lake St,11,11,in service,-87.774446,41.887919
302,Austin Blvd & Madison St,Austin Blvd & Madison St,11,11,in service,-87.774453,41.880281
91,Bissell St & Armitage Ave,Bissell St & Armitage Ave,15,14,in service,-87.65222,41.91844
